Track,"Car","Race #","Driver","Team","Lap","Position","Fuel","Pen","Lap Time","Sector 1","Sector 2","Sector 3","Gap","TimingFlags","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pos (Start Lap)","Fuel (Start Lap)","Position Δ","Wind Speed","Wind Direction","Brake Bias","Track Grip","Rain Intensity","Tyre","Tyre Set","Suspension Damage FL","Suspension Damage FR","Suspension Damage RL","Suspension Damage RR","Lap 0 Timestamp","Real Timestamp","Real Duration","° Air","° Road","° FL","° FR","° RL","° RR","Accel From","Accel to","Accidents","Adjusted timestamp","Brake ° FL","Brake ° FR","Brake ° RL","Brake ° RR","Brake Compound F","Brake Compound R","Brand","Category","Cup","Damage Front","Damage Left","Damage Rear","DamageRight","Driver ID","ECU Mode","ELO","First Name","Flags","Lap Completed Timestamp","Lap Type","Last Name","Licence","Max Speed","Nation Flag","Nationality","p FL","p FR","p RL","p RR","Peak Accel","Peak Accel Dist","Peak Accel Time","Penalty","Penalty Code","PenaltyTime","Player ID","Player Unclear","Position (Broadcast)","Repair Time","Session ID","Short Name","SR","Timestamp"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","21","2","42,6L","","1:41,817","0:21,905","0:32,647","0:47,265","+23,443","0","-0,829","+0,604","-5,830","-5,744","OPTIMUM","Dry","4","0","+2","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","36:33,145","","20,2°C","20,2°C","72,0°C","78,1°C","83,2°C","88,1°C","71","248","0","","465,0°C","468,7°C","461,8°C","463,9°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","64:52,395","Regular","Synkkänen","","264 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,1 psi","22,9165510406343","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","22","2","40,0L","","1:41,895","0:21,847","0:32,557","0:47,490","+24,458","0","-0,751","+0,682","-5,752","-5,666","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","38:15,180","","20,2°C","20,2°C","72,3°C","78,1°C","83,4°C","88,1°C","71","248","0","","457,4°C","460,6°C","455,1°C","456,9°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","66:34,292","Regular","Synkkänen","","264 Km/h","","Finland","26,9 psi","26,9 psi","27,0 psi","27,1 psi","21,3607804878049","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","23","2","37,4L","","1:41,647","0:21,887","0:32,505","0:47,255","+24,988","0","-0,999","+0,434","-6,000","-5,914","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","39:56,776","","20,1°C","20,1°C","72,2°C","77,9°C","83,2°C","87,8°C","71","248","0","","472,5°C","475,2°C","467,6°C","469,2°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","68:15,937","Regular","Synkkänen","","265 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,241348973607","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","24","2","34,8L","","1:42,555","0:21,890","0:33,447","0:47,217","+25,905","0","-0,091","+1,342","-5,092","-5,006","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","41:39,251","","20,1°C","20,1°C","72,0°C","77,5°C","82,5°C","87,0°C","71","248","0","","461,1°C","464,1°C","458,7°C","459,4°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","69:58,497","Regular","Synkkänen","","268 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,6633365664403","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","25","2","32,2L","","1:41,720","0:21,795","0:32,595","0:47,330","+26,233","0","-0,926","+0,507","-5,927","-5,841","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","43:20,941","","20,1°C","20,1°C","72,1°C","77,5°C","82,9°C","87,3°C","71","248","0","","469,0°C","472,8°C","465,1°C","467,3°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","71:40,212","Regular","Synkkänen","","265 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,048166023166","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","26","2","29,6L","","1:41,265","0:21,785","0:32,460","0:47,020","+25,605","8320","-1,381","+0,052","-6,382","-6,296","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","45:02,166","","20,0°C","20,0°C","72,2°C","77,9°C","83,0°C","87,5°C","71","248","0","","470,0°C","474,0°C","466,2°C","468,6°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","73:21,482","Regular","Synkkänen","","264 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,62958984375","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","27","2","27,0L","","1:41,715","0:21,822","0:32,625","0:47,267","+26,455","0","-0,931","+0,502","-5,932","-5,846","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","46:43,916","","20,0°C","20,0°C","72,1°C","78,0°C","83,0°C","87,5°C","71","248","0","","460,7°C","464,6°C","458,6°C","460,9°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","75:03,190","Regular","Synkkänen","","265 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,2470531400966","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","28","2","24,5L","","1:41,532","0:21,812","0:32,597","0:47,122","+26,863","0","-1,114","+0,319","-6,115","-6,029","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","48:25,641","","20,0°C","20,0°C","72,1°C","78,0°C","82,8°C","87,4°C","71","248","0","","461,1°C","465,3°C","458,4°C","460,8°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","76:44,730","Regular","Synkkänen","","265 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","21,9342003853565","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","29","2","21,8L","","1:41,867","0:21,717","0:32,487","0:47,662","+27,435","0","-0,779","+0,654","-5,780","-5,694","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","50:07,390","","19,9°C","19,9°C","72,3°C","78,1°C","82,8°C","87,5°C","71","248","0","","471,0°C","474,7°C","467,2°C","469,4°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","1","78:26,595","Regular","Synkkänen","","265 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,1422549019608","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","30","2","19,3L","","1:41,830","0:21,872","0:32,522","0:47,435","+27,597","0","-0,816","+0,617","-5,817","-5,731","OPTIMUM","Dry","2","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","51:49,235","","19,9°C","19,9°C","72,2°C","77,8°C","82,7°C","87,4°C","71","248","0","","466,5°C","470,1°C","463,1°C","465,1°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","80:08,425","Regular","Synkkänen","","263 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,9204545454545","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
